time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-30T01:11:58.740Z,36.0168343,-120.574501,3.77,1.57,md,19,82,0.0316,0.03,nc,nc73773305,2022-08-30T03:45:10.978Z,"18km NW of Parkfield, CA",earthquake,0.28,0.43,0.18,11,automatic,nc,nc
2022-08-30T00:47:08.059Z,4.7452,62.2237,10,4.7,mb,56,85,11.088,0.65,us,us7000i3kb,2022-08-30T01:06:30.040Z,"Carlsberg Ridge",earthquake,2.79,1.881,0.072,59,reviewed,us,us
2022-08-30T00:37:08.519Z,61.2769,-151.8465,87.1,1.3,ml,,,,0.95,ak,ak022b489xp5,2022-08-30T00:39:53.641Z,"43 km WNW of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-08-30T00:34:49.020Z,34.0595,-117.266,15.72,1.71,ml,59,27,0.1122,0.19,ci,ci40334128,2022-08-30T00:45:41.080Z,"1km NNW of Loma Linda, CA",earthquake,0.2,0.61,0.21,27,automatic,ci,ci
2022-08-30T00:23:42.198Z,-0.7475,-80.1768,45.352,4.4,mb,30,147,1.503,1.18,us,us7000i3k4,2022-08-30T02:04:11.733Z,"7 km NE of Tosagua, Ecuador",earthquake,7.49,14.351,0.134,16,reviewed,us,us
2022-08-30T00:20:15.762Z,65.0131,-147.2305,0,1.1,ml,,,,0.87,ak,ak022b486b1k,2022-08-30T00:22:39.858Z,"18 km NNW of Two Rivers, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-08-30T00:14:59.130Z,19.1791667938232,-155.480163574219,32.75,2.23,ml,39,78,,0.129999995,hv,hv73125547,2022-08-30T00:20:29.340Z,"2 km S of Pāhala, Hawaii",earthquake,0.56,0.779999971,0.29,3,automatic,hv,hv
2022-08-30T00:01:13.408Z,62.2508,-149.8735,12.5,1.8,ml,,,,0.72,ak,ak022b482898,2022-08-30T00:03:02.290Z,"10 km N of Susitna North, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-08-29T23:54:09.540Z,-22.2329,-176.5337,179.704,4.4,mb,26,130,1.628,0.65,us,us7000i3jw,2022-08-30T00:22:08.040Z,"181 km SW of Vaini, Tonga",earthquake,9.66,7.584,0.12,20,reviewed,us,us
2022-08-29T23:34:07.110Z,33.693,-116.7963333,15.64,1.02,ml,37,45,0.07085,0.17,ci,ci40334112,2022-08-29T23:45:05.340Z,"9km SW of Idyllwild, CA",earthquake,0.24,0.4,0.231,25,automatic,ci,ci
2022-08-29T23:24:36.810Z,33.6886667,-116.7175,14.47,1,ml,31,61,0.02261,0.18,ci,ci40334104,2022-08-29T23:28:05.486Z,"6km S of Idyllwild, CA",earthquake,0.28,0.48,0.163,28,automatic,ci,ci
2022-08-29T23:21:23.690Z,33.8241667,-116.7371667,11.6,1.01,ml,33,47,0.05099,0.29,ci,ci40334096,2022-08-29T23:24:56.732Z,"10km N of Idyllwild, CA",earthquake,0.42,0.93,0.204,27,automatic,ci,ci
2022-08-29T23:19:01.670Z,35.0258333,-117.6765,0.26,1.42,ml,15,75,0.09267,0.2,ci,ci40334080,2022-08-29T23:22:29.720Z,"4km NW of Boron, CA",quarry blast,0.55,31.61,0.16,20,automatic,ci,ci
2022-08-29T23:17:34.580Z,33.831,-116.7426667,11.97,1.36,ml,53,34,0.04561,0.13,ci,ci40334072,2022-08-30T00:46:40.310Z,"10km NNW of Idyllwild, CA",earthquake,0.14,0.37,0.27,23,reviewed,ci,ci
2022-08-29T22:52:22.490Z,19.4298324584961,-155.614669799805,-2.75,2.96,ml,40,66,,0.280000001,hv,hv73125467,2022-08-29T22:57:57.400Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.349999994,3.46,31,automatic,hv,hv
2022-08-29T21:45:33.080Z,33.4848333,-116.414,13.31,1.89,ml,22,84,0.03969,0.12,ci,ci40334040,2022-08-30T00:40:27.200Z,"22km SSW of La Quinta, CA",earthquake,0.23,0.48,0.172,10,reviewed,ci,ci
